Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Publication Share growth (%),Field-Weighted Citation Impact,Prominence percentile
Corporate Governance; Ownership; Investors,TC.45,403.0,0.86,-61.2,0.56,97.58
Social Media; Adoption; e-Commerce,TC.86,318.0,0.7,58.7,1.2,98.954
Antioxidant Capacity; High Performance Liquid Chromatography; Flavonoid,TC.6,313.0,0.48,-8.9,0.95,98.103
Image Segmentation; Deep Neural Network; Object Detection,TC.0,297.0,0.08,-42.7,1.27,100.0
Adsorption Isotherm; Scanning Electron Microscopy; Fourier Transform Infrared Spectroscopy,TC.54,256.0,0.55,117.5,2.35,98.627
Tourism Industry; COVID-19; Visitor Behavior,TC.118,239.0,0.54,92.3,1.16,97.711
COVID-19; Severe Acute Respiratory Syndrome Coronavirus 2; Public Health,TC.1,202.0,0.07,206.7,0.72,99.935
Social Media; Data Mining; COVID-19,TC.160,197.0,0.5,-31.5,0.98,94.899
Magnetohydrodynamic Generator; Nanofluidics; Heat Convection,TC.119,177.0,0.52,43.8,1.18,95.749
Biodiesel; Smoke; Vegetable Oil,TC.406,173.0,0.75,-51.4,1.34,90.778
Public-Private Partnership; Construction Industry; Project Scheduling,TC.547,169.0,0.88,-65.1,0.41,81.36
Ultimate Tensile Strength; Mechanical Strength; Silicate,TC.60,165.0,0.29,-14.6,1.33,98.888
Ultimate Tensile Strength; Scanning Electron Microscopy; Impact Strength,TC.808,154.0,0.81,-22.1,1.25,85.284
Green Innovation; Industry; Social Responsibility,TC.499,149.0,0.44,-33.5,1.04,98.561
Power Electronics; Control System; Predictive Control Model,TC.12,146.0,0.27,-66.3,0.73,93.329
Solar Cell; Photovoltaics; Battery (Electrochemical Energy Engineering),TC.356,138.0,0.39,-51.2,0.86,94.048
Sentiment Analysis; Natural Language Processing; Machine Learning,TC.5,137.0,0.1,123.4,0.61,99.673
Supply Chain Management; Industry; Airline,TC.25,137.0,0.33,-57.6,0.72,98.3
Cointegration; Environmental Kuznets Curve; Carbon Dioxide Emission,TC.131,127.0,0.29,17.5,1.62,99.411
Job Satisfaction; Organizational Citizenship Behavior; Justice,TC.95,127.0,0.39,-100.0,0.65,93.591
Gamification; Serious Game; Computer-Aided Instruction,TC.423,118.0,0.43,112.8,1.9,87.181
Transport; Green Building; Travel Behavior,TC.850,117.0,0.64,45.7,0.49,81.099
Power Engineering; Control System; Particle Swarm Optimization,TC.48,112.0,0.29,-100.0,0.77,90.124
Number; Multiple-Criteria Decision Analysis; Fuzzy Logic,TC.162,112.0,0.34,443.1,0.7,90.909
Internet of Things; Network Security; Cloud Computing,TC.762,109.0,0.36,22.4,1.09,89.143
User Experience; User-Centered Design; Human-Computer Interaction,TC.681,107.0,0.78,-100.0,0.43,50.752
Athletes; Skeletal Muscle; Prosthetics,TC.57,107.0,0.23,206.2,0.55,91.759
Pyrolysis; Bio-Oil; Thermogravimetric Analysis,TC.626,107.0,0.46,113.0,1.51,95.291
